,age,assists,club,goals,handle,id,matches,minutes,minutes_per_goal,p_name,position,transfer_fee_pounds,transfer_status
292,33,0,Leicester City,0,gary-taylor-fletcher,49101,3,71,0,Gary Taylor-Fletcher,Right Wing,£425k,in
293,22,1,Leicester City,0,liam-moore,128906,12,1.080,0,Liam Moore,Centre-Back,£2.13m,in
294,22,0,Leicester City,0,jacob-blyth,251914,2,29,0,Jacob Blyth,Centre-Forward,-,in
295,24,0,Leicester City,5,marko-futacs,101277,9,448,90,Márkó Futács,Centre-Forward,£510k,in
296,31,1,Leicester City,2,neil-danns,4108,12,803,402,Neil Danns,Central Midfield,£425k,in
298,33,0,Leicester City,0,gary-taylor-fletcher,49101,3,71,0,Gary Taylor-Fletcher,Right Wing,£425k,out
299,24,0,Leicester City,5,marko-futacs,101277,9,448,90,Márkó Futács,Centre-Forward,£510k,out
300,22,0,Leicester City,0,jacob-blyth,251914,2,29,0,Jacob Blyth,Centre-Forward,-,out
301,21,1,Leicester City,1,adam-dawson,134258,11,583,583,Adam Dawson,Right Wing,-,out
302,31,1,Leicester City,2,neil-danns,4108,12,803,402,Neil Danns,Central Midfield,£425k,out
303,30,0,Leicester City,4,zak-whitbread,22230,101,8.171,2.043,Zak Whitbread,Centre-Back,£638k,out
304,31,2,Leicester City,3,lloyd-dyer,3668,16,1.440,480,Lloyd Dyer,Left Midfield,£595k,out
305,21,1,Leicester City,1,adam-dawson,134258,11,583,583,Adam Dawson,Right Wing,-,out
306,21,1,Leicester City,0,ryan-watson,121269,11,774,0,Ryan Watson,Defensive Midfield,-,out
307,19,0,Leicester City,0,ben-frempah,290349,6,407,0,Ben Frempah,Centre-Back,-,out
308,20,0,Leicester City,0,george-taft,177613,6,310,0,George Taft,Centre-Back,-,out
309,29,5,Leicester City,1,paul-gallagher,10501,14,1.112,1.112,Paul Gallagher,Central Midfield,£340k,out
310,30,1,Leicester City,0,robert-huth,2998,10,897,0,Robert Huth,Centre-Back,£4.25m,out
311,18,0,Leicester City,0,robert-paratore,286913,9,288,0,Robert Paratore,Central Midfield,-,out
312,29,0,Leicester City,0,sean-st-ledger,42206,9,288,0,Sean St. Ledger,Centre-Back,£1.28m,out
313,40,1,Leicester City,94,kevin-phillips,3131,263,19.396,206,Kevin Phillips,Centre-Forward,£213k,out
314,26,5,Liverpool FC,3,adam-lallana,43530,11,771,257,Adam Lallana,Attacking Midfield,£6.38m,in
315,25,0,Liverpool FC,2,dejan-lovren,37838,8,720,360,Dejan Lovren,Centre-Back,£10.20m,in
316,20,0,Liverpool FC,1,lazar-markovic,144303,5,200,200,Lazar Markovic,Right Wing,£8.50m,in
317,24,0,Liverpool FC,6,mario-balotelli,45146,6,510,85,Mario Balotelli,Centre-Forward,£22.95m,in
318,22,1,Liverpool FC,0,alberto-moreno,207917,5,197,0,Alberto Moreno,Left-Back,£12.75m,in
319,19,0,Liverpool FC,0,divock-origi,148368,8,104,0,Divock Origi,Centre-Forward,£850k,in
320,20,0,Liverpool FC,2,emre-can,119296,7,401,201,Emre Can,Defensive Midfield,£6.38m,in
321,32,0,Liverpool FC,2,rickie-lambert,49655,10,706,353,Rickie Lambert,Centre-Forward,£4.25m,in
322,20,0,Liverpool FC,0,javier-manquillo,162029,7,630,0,Javier Manquillo,Right-Back,£5.10m,in
323,20,0,Liverpool FC,0,kevin-stewart,200782,4,16,0,Kevin Stewart,Defensive Midfield,£43k,in
324,17,0,Liverpool FC,0,sheyi-ojo,236510,4,16,0,Sheyi Ojo,Left Wing,£425k,in
325,22,0,Liverpool FC,0,andre-wisdom,128912,3,210,0,Andre Wisdom,Right-Back,£5.10m,in
326,19,1,Liverpool FC,0,jordan-williams,279454,4,289,0,Jordan Williams,Defensive Midfield,-,in
327,18,1,Liverpool FC,0,jordan-williams,279454,4,289,0,Jordan Williams,Defensive Midfield,-,in
328,21,0,Liverpool FC,0,kevin-stewart,200782,4,16,0,Kevin Stewart,Defensive Midfield,£43k,in
329,18,0,Liverpool FC,0,connor-randall,262545,6,540,0,Connor Randall,Right-Back,-,in
330,24,1,Liverpool FC,3,sebastian-coates,102427,10,900,300,Sebastián Coates,Centre-Back,£1.28m,in
331,17,1,Liverpool FC,3,sheyi-ojo,236510,10,900,300,Sheyi Ojo,Left Wing,-,in
333,19,0,Liverpool FC,0,rafa-paez,268258,7,630,0,Rafa Páez,Centre-Back,-,in
334,22,0,Liverpool FC,0,joao-teixeira,132214,0,0,0,João Teixeira,Attacking Midfield,£425k,in
335,20,4,Liverpool FC,2,suso,111961,12,975,488,Suso,Right Wing,£4.25m,in
336,21,0,Liverpool FC,0,tiago-ilori,177859,6,535,0,Tiago Ilori,Centre-Back,£3.40m,in
337,21,1,Liverpool FC,2,krisztian-adorjan,143219,13,630,315,Krisztián Adorján,Right Wing,£638k,in
339,23,1,Liverpool FC,3,sebastian-coates,102427,10,900,300,Sebastián Coates,Centre-Back,£2.13m,in
340,27,4,Liverpool FC,8,luis-suarez,44352,11,820,103,Luis Suárez,Centre-Forward,£44.20m,out
341,29,6,Liverpool FC,9,daniel-agger,22832,175,14.052,1.561,Daniel Agger,Centre-Back,£12.75m,out
343,24,1,Liverpool FC,0,martin-kelly,78959,10,618,0,Martin Kelly,Right-Back,£2.98m,out
344,20,0,Liverpool FC,0,jack-robinson,128909,2,148,0,Jack Robinson,Left-Back,£680k,out
345,21,0,Liverpool FC,0,luis-alberto,128220,2,27,0,Luis Alberto,Attacking Midfield,£5.10m,out
346,21,0,Liverpool FC,0,andre-wisdom,128912,3,210,0,Andre Wisdom,Right-Back,£2.13m,out
347,21,2,Liverpool FC,8,michael-ngoo,175739,22,1.408,176,Michael Ngoo,Centre-Forward,£128k,out
348,21,0,Liverpool FC,0,joao-teixeira,132214,0,0,0,João Teixeira,Attacking Midfield,-,out
349,18,0,Liverpool FC,0,jordon-ibe,195652,11,674,0,Jordon Ibe,Right Wing,£425k,out
350,23,1,Liverpool FC,3,sebastian-coates,102427,10,900,300,Sebastián Coates,Centre-Back,£2.13m,out
351,19,1,Liverpool FC,1,kristoffer-peterson,186704,8,664,664,Kristoffer Peterson,Left Wing,-,out
352,26,1,Liverpool FC,6,iago-aspas,72047,11,881,147,Iago Aspas,Centre-Forward,£5.95m,out
353,19,0,Liverpool FC,0,rafa-paez,268258,7,630,0,Rafa Páez,Centre-Back,-,out
354,21,0,Liverpool FC,0,tiago-ilori,177859,6,535,0,Tiago Ilori,Centre-Back,£3.40m,out
355,19,0,Liverpool FC,0,divock-origi,148368,8,104,0,Divock Origi,Centre-Forward,£850k,out
356,21,0,Liverpool FC,0,craig-roddan,175743,28,2.424,0,Craig Roddan,Central Midfield,-,out
357,26,1,Liverpool FC,0,aly-cissokho,57515,12,918,0,Aly Cissokho,Left-Back,£5.10m,out
358,23,0,Manchester City,0,eliaquim-mangala,90681,8,720,0,Eliaquim Mangala,Centre-Back,£23.80m,in
359,26,0,Manchester City,0,fernando,51174,5,204,0,Fernando,Defensive Midfield,£14.88m,in
361,21,0,Manchester City,0,bruno-zuculini,115507,8,546,0,Bruno Zuculini,Central Midfield,£3.40m,in
362,31,1,Manchester City,0,bacary-sagna,26764,4,348,0,Bacary Sagna,Right-Back,£10.20m,in
363,36,2,Manchester City,12,frank-lampard,3163,19,1.280,107,Frank Lampard,Central Midfield,£1.70m,in
364,20,1,Manchester City,1,george-evans,181498,15,1.087,1.087,George Evans,Defensive Midfield,-,in
365,26,2,Manchester City,9,scott-sinclair,31552,11,844,94,Scott Sinclair,Left Wing,£2.55m,in
366,17,2,Manchester City,9,thierry-ambrose,265763,11,844,94,Thierry Ambrose,Centre-Forward,-,in
367,20,2,Manchester City,0,devante-cole,186924,15,677,0,Devante Cole,Centre-Forward,£213k,in
368,19,2,Manchester City,0,devante-cole,186924,15,677,0,Devante Cole,Centre-Forward,-,in
369,23,1,Manchester City,1,john-guidetti,98596,5,245,245,John Guidetti,Centre-Forward,£2.98m,in
370,19,0,Manchester City,0,jason-denayer,277114,4,212,0,Jason Denayer,Centre-Back,-,in
371,18,2,Manchester City,0,jose-pozo,195605,11,733,0,José Pozo,Centre-Forward,-,in
372,27,0,Manchester City,0,javi-garcia,36350,12,1.054,0,Javi García,Defensive Midfield,£10.20m,out
373,23,1,Manchester City,0,jack-rodwell,57079,8,639,0,Jack Rodwell,Defensive Midfield,£10.20m,out
374,26,0,Manchester City,0,micah-richards,32617,2,128,0,Micah Richards,Right-Back,£7.65m,out
375,31,0,Manchester City,0,joleon-lescott,4241,4,360,0,Joleon Lescott,Centre-Back,£5.95m,out
376,22,1,Manchester City,1,john-guidetti,98596,5,245,245,John Guidetti,Centre-Forward,£2.98m,out
378,19,0,Manchester City,4,ellis-plummer,183771,1,,57,Ellis Plummer,Centre-Back,-,out
379,19,2,Manchester City,0,devante-cole,186924,15,677,0,Devante Cole,Centre-Forward,-,out
380,20,1,Manchester City,1,alex-henshall,137154,9,244,244,Alex Henshall,Left Wing,£85k,out
381,33,0,Manchester City,2,gareth-barry,3291,11,926,463,Gareth Barry,Defensive Midfield,£4.25m,out
382,18,0,Manchester City,2,rony-lopes,174694,5,405,203,Rony Lopes,Attacking Midfield,-,out
383,20,0,Manchester City,0,albert-rusnak,43228,8,468,0,Albert Rusnák,Attacking Midfield,-,out
384,21,0,Manchester City,0,bruno-zuculini,115507,8,546,0,Bruno Zuculini,Central Midfield,£2.55m,out
385,19,0,Manchester City,0,jason-denayer,277114,4,212,0,Jason Denayer,Centre-Back,-,out
386,29,3,Manchester City,1,alvaro-negredo,18644,11,887,887,Álvaro Negredo,Centre-Forward,£20.40m,out
387,23,0,Manchester City,2,alex-nimely,121410,12,536,268,Alex Nimely,Centre-Forward,£43k,out
388,20,5,Manchester City,3,adam-drury,186292,35,2.262,754,Adam Drury,Right-Back,-,out
389,26,5,Manchester United,0,angel-di-maria,45320,11,863,0,Ángel Di María,Right Wing,£42.50m,in
390,18,1,Manchester United,0,luke-shaw,183288,7,525,0,Luke Shaw,Left-Back,£11.05m,in
391,24,0,Manchester United,0,ander-herrera,99343,8,565,0,Ander Herrera,Central Midfield,£17.00m,in
392,24,0,Manchester United,0,marcos-rojo,93176,4,314,0,Marcos Rojo,Centre-Back,£10.20m,in
393,24,2,Manchester United,0,daley-blind,12282,9,810,0,Daley Blind,Centre-Back,£10.20m,in
394,28,0,Manchester United,4,falcao,39152,6,310,78,Falcao,Centre-Forward,£46.75m,in
396,20,0,Manchester United,0,tyler-blackett,134414,7,590,0,Tyler Blackett,Left-Back,-,in
399,19,0,Manchester United,0,saidy-janko,196435,4,297,0,Saidy Janko,Right-Back,£213k,in
400,19,0,Manchester United,0,paddy-mcnair,167268,8,265,0,Paddy McNair,Centre-Back,-,in
401,20,0,Manchester United,1,ben-pearson,183302,7,538,538,Ben Pearson,Central Midfield,-,in
402,22,1,Manchester United,0,jesse-lingard,141660,6,337,0,Jesse Lingard,Left Wing,£850k,in
403,18,0,Manchester United,0,james-wilson,214104,4,223,0,James Wilson,Centre-Forward,-,in
404,25,0,Manchester United,0,tom-cleverley,73484,8,335,0,Tom Cleverley,Central Midfield,£7.65m,in
405,22,0,Manchester United,0,will-keane,118535,5,282,0,Will Keane,Centre-Forward,£255k,in
406,21,0,Manchester United,0,reece-james,245585,5,282,0,Reece James,Left-Back,-,in
407,23,2,Manchester United,1,bebe,153427,7,360,360,Bebé,Right Wing,£850k,in
408,26,0,Manchester United,1,anderson,31645,13,486,486,Anderson,Central Midfield,£4.25m,in
409,22,0,Manchester United,1,marnick-vermijl,110798,5,287,287,Marnick Vermijl,Right-Back,£553k,in
410,20,0,Manchester United,1,angelo-henriquez,189740,13,752,752,Ángelo Henríquez,Centre-Forward,£2.38m,in
411,22,4,Manchester United,19,federico-macheda,61887,63,3.566,188,Federico Macheda,Centre-Forward,£1.28m,in
412,23,4,Manchester United,19,danny-welbeck,67063,63,3.566,188,Danny Welbeck,Centre-Forward,£14.45m,out
413,25,0,Manchester United,0,shinji-kagawa,81785,6,317,0,Shinji Kagawa,Attacking Midfield,£12.75m,out
414,25,1,Manchester United,0,alexander-buttner,38003,4,204,0,Alexander Büttner,Left-Back,£2.98m,out
415,26,1,Manchester United,5,chicharito,50935,9,729,146,Chicharito,Centre-Forward,£11.90m,out
416,24,2,Manchester United,1,bebe,153427,7,360,360,Bebé,Right Wing,£850k,out
417,33,0,Manchester United,0,patrice-evra,5285,4,338,0,Patrice Evra,Left-Back,£6.38m,out
418,20,0,Manchester United,1,angelo-henriquez,189740,13,752,752,Ángelo Henríquez,Centre-Forward,£2.38m,out
419,27,4,Manchester United,1,nani,33706,9,775,775,Nani,Right Wing,£10.20m,out
422,18,2,Manchester United,4,sam-byrne,183169,5,,450,Sam Byrne,Centre-Forward,-,out
423,35,7,Manchester United,11,rio-ferdinand,3235,503,43.774,3.979,Rio Ferdinand,Centre-Back,£1.28m,out
424,22,4,Manchester United,19,federico-macheda,61887,63,3.566,188,Federico Macheda,Centre-Forward,£1.28m,out
425,22,0,Manchester United,0,davide-petrucci,96798,8,709,0,Davide Petrucci,Central Midfield,£213k,out
426,32,4,Manchester United,15,nemanja-vidic-lrm-,19726,211,18.088,1.206,Nemanja Vidic‎,Centre-Back,£8.50m,out
427,25,0,Manchester United,0,tom-cleverley,73484,8,335,0,Tom Cleverley,Central Midfield,£9.35m,out
428,19,0,Manchester United,0,jack-rudge,229947,2,15,0,Jack Rudge,Central Midfield,-,out
429,21,0,Manchester United,1,michael-keane,118534,11,990,990,Michael Keane,Centre-Back,£425k,out
430,20,0,Manchester United,1,nick-powell,134424,12,627,627,Nick Powell,Secondary Striker,£3.40m,out
431,21,4,Manchester United,1,wilfried-zaha,145988,10,834,834,Wilfried Zaha,Right Wing,£6.80m,out
432,21,4,Manchester United,1,andy-kellett,173783,10,834,834,Andy Kellett,Left-Back,-,out
434,40,98,Manchester United,109,ryan-giggs,3406,632,46.393,426,Ryan Giggs,Left Midfield,£850k,out
435,24,1,Newcastle United,1,remy-cabella,113707,9,622,622,Rémy Cabella,Attacking Midfield,£8.50m,in
436,25,0,Newcastle United,0,siem-de-jong,45509,3,167,0,Siem de Jong,Attacking Midfield,£8.50m,in
437,24,0,Newcastle United,0,emmanuel-riviere,61637,4,236,0,Emmanuel Rivière,Centre-Forward,£4.25m,in
438,24,1,Newcastle United,1,daryl-janmaat,60744,5,287,287,Daryl Janmaat,Right-Back,£4.25m,in
440,20,0,Newcastle United,1,jamaal-lascelles,183318,16,1.334,1.334,Jamaal Lascelles,Centre-Back,£510k,in
441,23,0,Newcastle United,6,facundo-ferreyra,93795,9,511,85,Facundo Ferreyra,Centre-Forward,£5.10m,in
442,20,3,Newcastle United,3,ayoze-perez,246968,12,746,249,Ayoze Pérez,Centre-Forward,£850k,in
443,24,0,Newcastle United,0,jack-colback,61644,10,597,0,Jack Colback,Defensive Midfield,£3.83m,in
445,18,3,Newcastle United,2,callum-roberts,288952,5,354,177,Callum Roberts,Left Wing,-,in
447,18,0,Newcastle United,0,rolando-aarons,258188,4,76,0,Rolando Aarons,Left Wing,-,in
448,20,1,Newcastle United,3,adam-campbell,204354,9,559,186,Adam Campbell,Centre-Forward,£213k,in
449,19,1,Newcastle United,3,adam-campbell,204354,9,559,186,Adam Campbell,Centre-Forward,£213k,in
451,19,1,Newcastle United,3,remie-streete,198587,16,1.440,480,Remie Streete,Centre-Back,-,in
452,21,0,Newcastle United,1,jamaal-lascelles,183318,16,1.334,1.334,Jamaal Lascelles,Centre-Back,£2.55m,in
453,22,1,Newcastle United,1,haris-vuckic,76560,5,166,166,Haris Vuckic,Attacking Midfield,£850k,in
455,21,1,Newcastle United,0,mehdi-abeid,111036,9,719,0,Mehdi Abeid,Central Midfield,£638k,in
456,30,0,Newcastle United,0,jonas-gutierrez,26443,6,505,0,Jonás Gutiérrez,Left Midfield,£2.55m,in
457,24,0,Newcastle United,0,romain-amalfitano,137841,8,364,0,Romain Amalfitano,Right Wing,£850k,in
458,28,0,Newcastle United,0,mathieu-debuchy,27306,8,364,0,Mathieu Debuchy,Right-Back,£8.50m,out
459,25,0,Newcastle United,0,mapou-yanga-mbiwa,57480,8,601,0,Mapou Yanga-Mbiwa,Centre-Back,£4.25m,out
460,22,0,Newcastle United,0,conor-newton,222148,10,388,0,Conor Newton,Central Midfield,£255k,out
461,19,2,Newcastle United,1,steven-logan,198463,20,1.395,1.395,Steven Logan,Central Midfield,-,out
463,19,1,Newcastle United,3,remie-streete,198587,16,1.440,480,Remie Streete,Centre-Back,-,out
464,22,5,Newcastle United,5,michael-richardson,177022,31,2.433,487,Michael Richardson,Defensive Midfield,-,out
465,24,0,Newcastle United,0,romain-amalfitano,137841,8,364,0,Romain Amalfitano,Right Wing,£850k,out
466,32,20,Newcastle United,43,shola-ameobi,3276,299,14.833,345,Shola Ameobi,Centre-Forward,£1.28m,out
467,19,1,Newcastle United,3,adam-campbell,204354,9,559,186,Adam Campbell,Centre-Forward,£213k,out
469,24,0,Newcastle United,2,dan-gosling,44983,10,311,156,Dan Gosling,Central Midfield,£1.28m,out
470,28,1,Newcastle United,1,sylvain-marveaux,39909,3,190,190,Sylvain Marveaux,Left Wing,£2.13m,out
471,20,0,Newcastle United,1,jamaal-lascelles,183318,16,1.334,1.334,Jamaal Lascelles,Centre-Back,£510k,out
472,27,1,Newcastle United,0,hatem-ben-arfa,18900,9,212,0,Hatem Ben Arfa,Attacking Midfield,£7.65m,out
473,23,0,Newcastle United,1,james-tavernier,62094,11,990,990,James Tavernier,Right-Back,-,out
474,23,5,Newcastle United,3,luuk-de-jong,72522,12,1.080,360,Luuk de Jong,Centre-Forward,£6.38m,out
475,22,0,Queens Park Rangers,2,steven-caulker,121280,13,1.134,567,Steven Caulker,Centre-Back,£6.38m,in
476,24,0,Queens Park Rangers,4,leroy-fer,63342,10,790,198,Leroy Fer,Central Midfield,£7.23m,in
477,22,0,Queens Park Rangers,0,jordon-mutch,57207,2,159,0,Jordon Mutch,Central Midfield,£2.55m,in
478,25,0,Queens Park Rangers,3,sandro,74590,2,180,60,Sandro,Defensive Midfield,£9.35m,in
480,24,0,Queens Park Rangers,0,eduardo-vargas,89718,4,84,0,Eduardo Vargas,Right Wing,£5.10m,in
481,20,0,Queens Park Rangers,0,jack-robinson,128909,2,148,0,Jack Robinson,Left-Back,£680k,in
482,26,2,Queens Park Rangers,0,mauricio-isla,43722,11,875,0,Mauricio Isla,Right Midfield,£7.65m,in
483,35,7,Queens Park Rangers,11,rio-ferdinand,3235,503,43.774,3.979,Rio Ferdinand,Centre-Back,£1.28m,in
484,30,0,Queens Park Rangers,1,niko-kranjcar,16746,9,391,391,Niko Kranjcar,Attacking Midfield,£2.55m,in
485,18,1,Queens Park Rangers,0,cole-kpekawa,347895,7,440,0,Cole Kpekawa,Left-Back,-,in
486,23,0,Queens Park Rangers,3,max-ehmer,158718,16,1.440,480,Max Ehmer,Centre-Back,£85k,in
488,18,1,Queens Park Rangers,0,cole-kpekawa,347895,7,440,0,Cole Kpekawa,Left-Back,-,in
489,22,0,Queens Park Rangers,0,michael-harriman,155233,16,1.435,0,Michael Harriman,Right-Back,£85k,in
490,21,3,Queens Park Rangers,3,bruno-andrade,169633,11,841,280,Bruno Andrade,Attacking Midfield,-,in
492,21,0,Queens Park Rangers,0,jack-robinson,128909,2,148,0,Jack Robinson,Left-Back,£850k,in
494,18,1,Queens Park Rangers,0,cole-kpekawa,347895,7,440,0,Cole Kpekawa,Left-Back,-,in
495,19,2,Queens Park Rangers,5,michael-petrasso,189039,29,1.903,381,Michael Petrasso,Right Wing,-,in
497,33,25,Queens Park Rangers,20,ji-sung-park,4592,153,9.443,472,Ji-Sung Park,Attacking Midfield,£1.70m,in
498,25,25,Queens Park Rangers,20,adel-taarabt,45287,153,9.443,472,Adel Taarabt,Attacking Midfield,£5.10m,in
499,28,0,Queens Park Rangers,6,stephane-mbia,27470,26,2.250,375,Stéphane Mbia,Defensive Midfield,£7.65m,in
500,26,0,Queens Park Rangers,6,esteban-granero,44065,26,2.250,375,Esteban Granero,Central Midfield,£4.25m,in
501,27,0,Queens Park Rangers,6,loic-remy,45121,26,2.250,375,Loïc Rémy,Centre-Forward,£10.20m,out
502,27,0,Queens Park Rangers,6,esteban-granero,44065,26,2.250,375,Esteban Granero,Central Midfield,£4.25m,out
503,27,0,Queens Park Rangers,0,danny-simpson,37442,10,837,0,Danny Simpson,Right-Back,£2.13m,out
504,21,0,Queens Park Rangers,0,mo-shariff,264509,4,172,0,Mo Shariff,Centre-Forward,-,out
506,34,0,Queens Park Rangers,2,yossi-benayoun,7858,6,291,146,Yossi Benayoun,Right Wing,£850k,out
507,19,2,Queens Park Rangers,5,michael-petrasso,189039,29,1.903,381,Michael Petrasso,Right Wing,-,out
508,19,2,Queens Park Rangers,5,michael-petrasso,189039,29,1.903,381,Michael Petrasso,Right Wing,-,out
509,31,3,Queens Park Rangers,0,gary-oneil,3995,14,1.115,0,Gary O'Neil,Central Midfield,£1.70m,out
510,19,0,Queens Park Rangers,0,emmanuel-monthe,319630,7,350,0,Emmanuel Monthe,Left-Back,-,out
511,21,0,Queens Park Rangers,0,michael-harriman,155233,16,1.435,0,Michael Harriman,Right-Back,£85k,out
512,20,0,Queens Park Rangers,0,frankie-sutherland,148911,5,356,0,Frankie Sutherland,Central Midfield,-,out
513,28,0,Queens Park Rangers,6,stephane-mbia,27470,26,2.250,375,Stéphane Mbia,Defensive Midfield,£7.65m,out
514,20,3,Queens Park Rangers,1,sam-magri,134421,17,1.477,1.477,Sam Magri,Right-Back,£43k,out
516,21,7,Queens Park Rangers,9,tom-hitchcock,121386,42,1.804,200,Tom Hitchcock,Centre-Forward,-,out
517,34,0,Queens Park Rangers,0,aaron-hughes,3580,5,425,0,Aaron Hughes,Centre-Back,£595k,out
518,20,0,Queens Park Rangers,0,jamie-sendles-white,248755,5,388,0,Jamie Sendles-White,Centre-Back,-,out
519,21,5,Queens Park Rangers,2,michael-doughty,173832,8,674,337,Michael Doughty,Central Midfield,£43k,out
521,20,0,Queens Park Rangers,0,jack-robinson,128909,2,148,0,Jack Robinson,Left-Back,£680k,out
522,25,0,Queens Park Rangers,0,samba-diakite,136589,41,2.871,0,Samba Diakité,Defensive Midfield,£2.13m,out
523,28,0,Queens Park Rangers,0,mauro-zarate,26456,3,55,0,Mauro Zárate,Secondary Striker,£2.98m,out
524,26,12,Queens Park Rangers,9,hogan-ephraim,31883,132,7.469,830,Hogan Ephraim,Left Midfield,£425k,out
525,24,4,Queens Park Rangers,4,angelo-balanta,43696,19,1.678,420,Ángelo Balanta,Left Wing,-,out
526,31,14,Queens Park Rangers,32,jermaine-jenas,3461,280,20.977,656,Jermaine Jenas,Central Midfield,£1.45m,out
527,33,25,Queens Park Rangers,20,ji-sung-park,4592,153,9.443,472,Ji-Sung Park,Attacking Midfield,£1.70m,out
528,34,3,Queens Park Rangers,9,luke-young,3271,377,31.605,3.512,Luke Young,Right-Back,£425k,out
529,33,21,Queens Park Rangers,51,andy-johnson,14031,187,13.997,274,Andy Johnson,Centre-Forward,£850k,out
530,29,0,Queens Park Rangers,1,niko-kranjcar,16746,9,391,391,Niko Kranjcar,Attacking Midfield,£2.55m,out
531,22,1,Queens Park Rangers,10,dellatorre,184604,26,1.767,177,Dellatorre,Centre-Forward,£1.28m,out
532,22,2,Southampton FC,6,sadio-mane,200512,10,871,145,Sadio Mané,Left Wing,£6.38m,in
533,27,0,Southampton FC,0,shane-long,37304,7,323,0,Shane Long,Centre-Forward,£5.10m,in
534,25,1,Southampton FC,1,dusan-tadic,36139,11,863,863,Dusan Tadic,Left Wing,£8.50m,in
536,28,7,Southampton FC,11,graziano-pelle,29594,30,2.171,197,Graziano Pellè,Centre-Forward,£5.53m,in
537,25,0,Southampton FC,0,florin-gardos,57423,3,196,0,Florin Gardos,Centre-Back,£5.10m,in
538,24,1,Southampton FC,0,ryan-bertrand,40611,6,528,0,Ryan Bertrand,Left-Back,£5.10m,in
539,22,0,Southampton FC,1,saphir-taider,144779,11,951,951,Saphir Taider,Central Midfield,£6.80m,in
540,25,0,Southampton FC,0,toby-alderweireld,42710,8,690,0,Toby Alderweireld,Centre-Back,£8.50m,in
541,24,1,Southampton FC,1,gaston-ramirez,123742,10,662,662,Gastón Ramírez,Attacking Midfield,£5.10m,in
542,32,0,Southampton FC,0,jos-hooiveld,4624,11,956,0,Jos Hooiveld,Centre-Back,£1.28m,in
543,18,0,Southampton FC,1,jake-hesketh,315185,4,347,347,Jake Hesketh,Attacking Midfield,-,in
545,18,0,Southampton FC,0,matt-targett,250478,4,284,0,Matt Targett,Left-Back,-,in
546,21,0,Southampton FC,2,jack-stephens,163744,4,360,180,Jack Stephens,Centre-Back,£213k,in
547,22,1,Southampton FC,0,lloyd-isgrove,226965,2,158,0,Lloyd Isgrove,Right Wing,£213k,in
548,23,0,Southampton FC,0,emmanuel-mayuka,55709,1,10,0,Emmanuel Mayuka,Centre-Forward,£1.70m,in
549,28,13,Southampton FC,41,daniel-osvaldo,37389,124,7.457,182,Daniel Osvaldo,Centre-Forward,£11.05m,in
550,29,0,Southampton FC,3,lee-barnard,4058,16,1.075,358,Lee Barnard,Centre-Forward,£213k,in
551,18,1,Southampton FC,0,luke-shaw,183288,7,525,0,Luke Shaw,Left-Back,£11.05m,out
552,26,5,Southampton FC,3,adam-lallana,43530,11,771,257,Adam Lallana,Attacking Midfield,£6.38m,out
553,25,0,Southampton FC,2,dejan-lovren,37838,8,720,360,Dejan Lovren,Centre-Back,£10.20m,out
554,19,0,Southampton FC,1,calum-chambers,215118,6,540,540,Calum Chambers,Right-Back,£1.70m,out
555,32,0,Southampton FC,2,rickie-lambert,49655,10,706,353,Rickie Lambert,Centre-Forward,£4.25m,out
556,28,4,Southampton FC,11,billy-sharp,49542,16,1.374,125,Billy Sharp,Centre-Forward,£1.70m,out
557,28,0,Southampton FC,0,danny-fox,31553,7,495,0,Danny Fox,Left-Back,£1.70m,out
558,19,0,Southampton FC,0,jamal-branker,226960,0,0,0,Jamal Branker,Right Wing,-,out
560,28,13,Southampton FC,41,daniel-osvaldo,37389,124,7.457,182,Daniel Osvaldo,Centre-Forward,£9.35m,out
561,29,0,Southampton FC,3,lee-barnard,4058,16,1.075,358,Lee Barnard,Centre-Forward,£213k,out
562,20,0,Southampton FC,2,jack-stephens,163744,4,360,180,Jack Stephens,Centre-Back,£128k,out
563,20,0,Southampton FC,0,joe-curtis,226963,9,583,0,Joe Curtis,Central Midfield,-,out
564,28,2,Southampton FC,4,jonathan-forte,39505,15,1.236,309,Jonathan Forte,Centre-Forward,-,out
565,31,0,Southampton FC,0,jos-hooiveld,4624,11,956,0,Jos Hooiveld,Centre-Back,£1.70m,out
566,23,1,Southampton FC,1,gaston-ramirez,123742,10,662,662,Gastón Ramírez,Attacking Midfield,£6.38m,out
567,19,8,Southampton FC,7,jake-sinclair,226977,40,2.992,427,Jake Sinclair,Secondary Striker,-,out
568,22,0,Southampton FC,1,saphir-taider,144779,11,951,951,Saphir Taider,Central Midfield,£6.80m,out
569,32,1,Southampton FC,19,guly,22801,103,6.293,331,Guly,Attacking Midfield,£850k,out
570,23,0,Stoke City,2,bojan-krkic,44675,6,290,145,Bojan Krkic,Secondary Striker,£4.25m,in
571,19,0,Stoke City,4,robbie-parry,203196,14,954,239,Robbie Parry,Right Wing,-,in
572,29,0,Stoke City,0,phil-bardsley,15773,8,605,0,Phil Bardsley,Right-Back,£2.55m,in
573,21,0,Stoke City,0,dionatan-teixeira,107617,8,605,0,Dionatan Teixeira,Centre-Back,£298k,in
574,26,0,Stoke City,0,mame-diouf,62049,7,285,0,Mame Diouf,Centre-Forward,£9.35m,in
575,31,0,Stoke City,1,steve-sidwell,13427,13,908,908,Steve Sidwell,Central Midfield,£2.13m,in
